@RELATION Starcraft_PvP_Protoss

@ATTRIBUTE ProtossPylon INTEGER 
@ATTRIBUTE ProtossSecondPylon INTEGER 
@ATTRIBUTE ProtossFirstGas INTEGER 
@ATTRIBUTE ProtossSecondGas INTEGER 
@ATTRIBUTE ProtossFirstExpansion INTEGER 
@ATTRIBUTE ProtossSecondExpansion INTEGER 
@ATTRIBUTE ProtossThirdExpansion INTEGER 
@ATTRIBUTE ProtossFourthExpansion INTEGER 
@ATTRIBUTE ProtossGateway INTEGER 
@ATTRIBUTE ProtossSecondGatway INTEGER 
@ATTRIBUTE ProtossThirdGatway INTEGER 
@ATTRIBUTE ProtossFourthGatway INTEGER 
@ATTRIBUTE ProtossCore INTEGER 
@ATTRIBUTE ProtossZealot INTEGER 
@ATTRIBUTE ProtossGoon INTEGER 
@ATTRIBUTE ProtossRange INTEGER 
@ATTRIBUTE ProtossForge INTEGER 
@ATTRIBUTE ProtossCannon INTEGER 
@ATTRIBUTE ProtossGroundWeapons1 INTEGER 
@ATTRIBUTE ProtossGroundArmor1 INTEGER 
@ATTRIBUTE ProtossShields1 INTEGER 
@ATTRIBUTE ProtossGroundWeapons2 INTEGER 
@ATTRIBUTE ProtossGroundArmor2 INTEGER 
@ATTRIBUTE ProtossShields2 INTEGER 
@ATTRIBUTE ProtossCitadel INTEGER 
@ATTRIBUTE ProtossLegs INTEGER 
@ATTRIBUTE ProtossArchives INTEGER 
@ATTRIBUTE ProtossTemplar INTEGER 
@ATTRIBUTE ProtossArchon INTEGER 
@ATTRIBUTE ProtossStorm INTEGER 
@ATTRIBUTE ProtossDarkTemplar INTEGER 
@ATTRIBUTE ProtossDarkArchon INTEGER 
@ATTRIBUTE ProtossMaelstorm INTEGER 
@ATTRIBUTE ProtossRoboBay INTEGER 
@ATTRIBUTE ProtossShuttle INTEGER 
@ATTRIBUTE ProtossShuttleSpeed INTEGER 
@ATTRIBUTE ProtossRoboSupport INTEGER 
@ATTRIBUTE ProtossReavor INTEGER 
@ATTRIBUTE ProtossReavorDamage INTEGER 
@ATTRIBUTE ProtossReavorCapacity INTEGER 
@ATTRIBUTE ProtossObservory INTEGER 
@ATTRIBUTE ProtossObs INTEGER 
@ATTRIBUTE ProtossStargate INTEGER 
@ATTRIBUTE ProtossCorsair INTEGER 
@ATTRIBUTE ProtossDisruptionWeb INTEGER 
@ATTRIBUTE ProtossFleetBeason INTEGER 
@ATTRIBUTE ProtossCarrier INTEGER 
@ATTRIBUTE ProtossCarrierCapacity INTEGER 
@ATTRIBUTE ProtossTribunal INTEGER 
@ATTRIBUTE ProtossArbitor INTEGER 
@ATTRIBUTE ProtossStatis INTEGER 
@ATTRIBUTE ProtossRecall INTEGER 
@ATTRIBUTE ProtossAirWeapons1 INTEGER 
@ATTRIBUTE ProtossAirArmor1 INTEGER 
@ATTRIBUTE ProtossAirWeapons2 INTEGER 
@ATTRIBUTE ProtossAirArmor2 INTEGER 
@ATTRIBUTE midBuild {FastLegs,FastDT,FastObs,ReaverDrop,Carrier,FastExpand,Unknown}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
3408,3408,3456,0,0,0,0,0,3384,6336,0,0,3744,3696,6144,0,0,0,0,0,0,0,0,0,6144,0,6168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
2760,7752,2784,0,0,0,0,0,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
13272,13320,16176,21720,13320,14904,0,0,3528,13248,13248,13320,16176,3528,5784,0,0,0,0,0,0,0,0,0,16200,0,0,21672,0,0,20304,0,0,13296,12432,0,13320,12432,0,0,16152,16368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
2784,3048,6744,0,0,0,0,0,2760,2760,5232,12456,12576,5064,9840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
8544,8616,8592,19008,15072,0,0,0,8520,8520,14760,14760,8544,3744,6552,0,8640,8592,0,0,0,0,0,0,14688,0,14688,18264,18456,0,0,0,0,8544,0,0,0,0,0,0,8592,10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
3600,3720,4560,17064,13536,0,0,0,3576,3600,13104,20520,5496,3480,7584,0,0,0,0,0,0,0,0,0,22176,0,0,0,0,0,0,0,0,6840,11568,0,13056,11616,0,0,15552,9888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
2640,3000,4368,4776,12264,26832,0,0,2592,2616,12456,12480,5208,3768,7032,0,20208,26832,0,0,0,0,0,0,0,0,0,20304,20808,0,0,0,0,12528,0,0,0,0,0,0,12576,12144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
2832,3888,5736,15072,12888,15696,22776,31896,2784,5688,13224,13272,5736,3984,6624,0,29280,25536,0,0,0,0,0,0,18936,0,20016,26928,27360,0,24408,0,0,13296,11016,0,13464,11088,0,0,13320,10152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
7584,0,0,0,6144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
2832,3024,2880,16080,11496,0,0,0,2784,9504,10200,12960,3648,3504,9648,0,0,17472,0,0,0,0,0,0,13080,0,14760,16992,19200,0,0,0,0,9456,13656,0,9384,11352,0,0,9408,8904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
3552,3648,5280,23784,23472,25392,27672,0,3504,3528,18192,18192,15336,3552,8904,0,15408,11376,0,0,0,0,0,0,16656,0,16680,17064,26376,0,10560,0,0,15432,21792,0,0,0,0,0,18144,17184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
4848,4872,4848,0,0,0,0,0,4800,10272,10392,0,4896,4176,5880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12312,8904,0,12336,11856,0,0,10032,11376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
10992,10992,0,0,0,0,0,0,6624,6648,0,0,0,3768,6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
3936,8064,8304,12600,9360,0,0,0,8304,8304,14208,14232,8088,3720,5904,0,15528,0,0,0,0,0,0,0,14352,0,15504,0,0,0,0,0,0,8904,8376,0,8112,11808,0,0,8256,9744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
3168,3240,3264,0,0,0,0,0,3168,11376,18744,0,3720,3552,6816,0,15744,15768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11592,10320,0,12000,10440,0,0,11736,9240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
2832,3048,3768,12216,9240,16272,20808,0,2832,2832,11496,11520,4536,3552,6816,0,0,0,0,0,0,0,0,0,11472,0,13656,19008,24240,0,23928,0,0,11592,11592,0,11544,12744,0,0,11496,11136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
4536,4560,4608,22872,15840,0,0,0,4512,4512,0,0,5616,4128,7152,0,0,17376,0,0,0,0,0,0,0,0,0,19152,20016,0,22992,0,0,7104,9768,0,0,11376,0,0,0,11136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
2016,3288,3936,0,0,0,0,0,1992,3744,0,0,0,4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
3456,3936,3528,17808,10560,0,0,0,3432,12816,12816,13512,3960,3456,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15912,9696,0,9672,11760,0,0,15912,9336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
13272,13320,16176,21720,13320,14904,0,0,3528,13248,13248,13320,16176,3528,5784,0,0,0,0,0,0,0,0,0,16200,0,0,21672,0,0,20304,0,0,13296,12432,0,13320,12432,0,0,16152,16368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
3480,3552,3552,0,0,0,0,0,3456,10656,11712,12480,3552,3504,5616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10152,10032,0,10776,10056,0,0,10656,9024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
2832,7296,9120,14472,14376,21480,25704,0,3552,3552,9696,21984,9000,3552,7296,0,0,13104,0,0,0,0,0,0,19056,0,0,20928,21576,0,18384,0,0,9120,9000,0,9096,12720,0,0,9120,9096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
