@RELATION Starcraft_PvP_Protoss

@ATTRIBUTE ProtossPylon INTEGER 
@ATTRIBUTE ProtossSecondPylon INTEGER 
@ATTRIBUTE ProtossFirstGas INTEGER 
@ATTRIBUTE ProtossSecondGas INTEGER 
@ATTRIBUTE ProtossFirstExpansion INTEGER 
@ATTRIBUTE ProtossSecondExpansion INTEGER 
@ATTRIBUTE ProtossThirdExpansion INTEGER 
@ATTRIBUTE ProtossFourthExpansion INTEGER 
@ATTRIBUTE ProtossGateway INTEGER 
@ATTRIBUTE ProtossSecondGatway INTEGER 
@ATTRIBUTE ProtossThirdGatway INTEGER 
@ATTRIBUTE ProtossFourthGatway INTEGER 
@ATTRIBUTE ProtossCore INTEGER 
@ATTRIBUTE ProtossZealot INTEGER 
@ATTRIBUTE ProtossGoon INTEGER 
@ATTRIBUTE ProtossRange INTEGER 
@ATTRIBUTE ProtossForge INTEGER 
@ATTRIBUTE ProtossCannon INTEGER 
@ATTRIBUTE ProtossGroundWeapons1 INTEGER 
@ATTRIBUTE ProtossGroundArmor1 INTEGER 
@ATTRIBUTE ProtossShields1 INTEGER 
@ATTRIBUTE ProtossGroundWeapons2 INTEGER 
@ATTRIBUTE ProtossGroundArmor2 INTEGER 
@ATTRIBUTE ProtossShields2 INTEGER 
@ATTRIBUTE ProtossCitadel INTEGER 
@ATTRIBUTE ProtossLegs INTEGER 
@ATTRIBUTE ProtossArchives INTEGER 
@ATTRIBUTE ProtossTemplar INTEGER 
@ATTRIBUTE ProtossArchon INTEGER 
@ATTRIBUTE ProtossStorm INTEGER 
@ATTRIBUTE ProtossDarkTemplar INTEGER 
@ATTRIBUTE ProtossDarkArchon INTEGER 
@ATTRIBUTE ProtossMaelstorm INTEGER 
@ATTRIBUTE ProtossRoboBay INTEGER 
@ATTRIBUTE ProtossShuttle INTEGER 
@ATTRIBUTE ProtossShuttleSpeed INTEGER 
@ATTRIBUTE ProtossRoboSupport INTEGER 
@ATTRIBUTE ProtossReavor INTEGER 
@ATTRIBUTE ProtossReavorDamage INTEGER 
@ATTRIBUTE ProtossReavorCapacity INTEGER 
@ATTRIBUTE ProtossObservory INTEGER 
@ATTRIBUTE ProtossObs INTEGER 
@ATTRIBUTE ProtossStargate INTEGER 
@ATTRIBUTE ProtossCorsair INTEGER 
@ATTRIBUTE ProtossDisruptionWeb INTEGER 
@ATTRIBUTE ProtossFleetBeason INTEGER 
@ATTRIBUTE ProtossCarrier INTEGER 
@ATTRIBUTE ProtossCarrierCapacity INTEGER 
@ATTRIBUTE ProtossTribunal INTEGER 
@ATTRIBUTE ProtossArbitor INTEGER 
@ATTRIBUTE ProtossStatis INTEGER 
@ATTRIBUTE ProtossRecall INTEGER 
@ATTRIBUTE ProtossAirWeapons1 INTEGER 
@ATTRIBUTE ProtossAirArmor1 INTEGER 
@ATTRIBUTE ProtossAirWeapons2 INTEGER 
@ATTRIBUTE ProtossAirArmor2 INTEGER 
@ATTRIBUTE midBuild {FastLegs,FastDT,FastObs,ReaverDrop,Carrier,FastExpand,Unknown}

@DATA
1176,3024,2376,16584,10800,23832,0,0,1824,5952,12024,13464,3624,2808,4848,0,0,0,0,0,0,0,0,0,17424,0,21696,22824,23640,0,22728,0,0,5424,6816,0,7440,7992,0,0,8424,9480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
1272,3192,2544,0,0,0,0,0,2040,6336,0,0,3744,3096,5376,0,0,0,0,0,0,0,0,0,4896,0,6024,0,0,0,7032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1248,7680,2640,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
1152,4800,0,0,0,0,0,0,1920,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
1392,3672,2208,0,6312,0,0,0,1920,7656,0,0,3024,3384,4440,0,0,0,0,0,0,0,0,0,4248,0,5232,0,0,0,6408,0,0,6792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1176,2400,2976,18504,6192,14832,0,0,1848,7080,7968,9504,3744,2808,4752,0,0,0,0,0,0,0,0,0,15144,0,17592,20856,0,0,18600,0,0,7416,9120,0,8760,10032,0,0,14808,15768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1176,3000,6744,0,13056,0,0,0,2304,2376,5232,7656,6864,3360,7992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1224,2928,3360,15744,10968,0,0,0,1872,6120,13200,13392,3840,2856,4944,0,7728,8424,0,0,0,0,0,0,12264,0,13968,14976,18456,0,0,0,0,7008,0,0,0,0,0,0,8328,8880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1200,3024,4560,17064,13536,0,0,0,1872,2496,10944,18168,5208,2880,6360,0,0,0,0,0,0,0,0,0,20592,0,0,0,0,0,0,0,0,6840,9312,0,9672,10344,0,0,8136,8712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1224,3000,4368,4776,10776,16848,23160,29520,1944,2496,7752,12096,5184,3168,6168,0,16320,17880,0,0,0,0,0,0,15720,0,18432,19512,20808,0,0,0,0,9240,0,0,0,0,0,0,10560,11160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1224,2376,3312,14880,12600,14016,22776,31896,1920,5664,12288,12360,4872,2904,5856,0,24168,25536,0,0,0,0,0,0,17232,0,19944,24912,27360,0,23016,0,0,6864,8304,0,9120,9816,0,0,8616,9216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
6696,11640,11136,0,6048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1176,3024,2520,12144,9216,0,0,0,1872,6624,10200,12960,3648,2856,4800,0,16752,17472,0,0,0,0,0,0,13080,0,14760,16152,19200,0,0,0,0,6096,11784,0,8664,9432,0,0,7392,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1224,3168,5280,12600,10992,12144,20136,24648,1968,2568,12096,13848,6384,2952,8016,0,9840,10536,0,0,0,0,0,0,7632,0,8640,12408,26376,0,9672,0,0,14496,19872,0,0,0,0,0,15816,16440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1176,3048,2376,0,0,0,0,0,1872,6456,9456,13416,4032,2880,5040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6408,7728,0,8016,8760,0,0,8904,9816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
1224,2736,3288,0,7008,0,0,0,1920,6024,7800,8376,3816,2904,4824,0,0,0,0,0,0,0,0,0,5880,0,0,0,0,0,0,0,0,9792,0,0,11832,0,0,0,14496,15456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
1152,2976,2352,12600,9360,0,0,0,1824,8112,10728,14016,3648,2808,4920,0,15528,0,0,0,0,0,0,0,13656,0,15504,0,0,0,17760,0,0,5064,6360,0,6576,7272,0,0,8184,8736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
1152,2952,2400,13632,10248,0,0,0,1896,7872,13944,14280,3720,2904,4800,0,14112,14832,0,0,0,0,0,0,14688,0,15984,18336,0,0,0,0,0,5520,6792,0,6984,8496,0,0,7104,7824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
1200,3048,3768,9216,7080,12744,20784,0,1872,2496,9888,10152,4536,2856,5544,0,19896,0,0,0,0,0,0,0,11448,0,12432,14664,24240,0,21504,0,0,7824,10656,0,10728,11568,0,0,9408,10056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1176,2976,4608,13416,10872,21096,0,0,1800,2472,11832,11952,5328,2784,6384,0,16536,17256,0,0,0,0,0,0,14400,0,15720,16920,20016,0,22032,0,0,6888,8304,0,9360,10080,0,0,8520,9216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1176,3288,3936,0,0,0,0,0,1944,2640,0,0,0,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
1176,2544,2976,15360,8832,0,0,0,1872,5496,10680,12960,3936,2856,5040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5784,7224,0,8256,9072,0,0,7440,8184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1176,2400,2976,18504,6192,14832,0,0,1848,7080,7968,9504,3744,2808,4752,0,0,0,0,0,0,0,0,0,15144,0,17592,20856,0,0,18600,0,0,7416,9120,0,8760,10032,0,0,14808,15768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
