@RELATION Starcraft_PvP_Protoss

@ATTRIBUTE ProtossPylon INTEGER
@ATTRIBUTE ProtossSecondPylon INTEGER
@ATTRIBUTE ProtossFirstGas INTEGER
@ATTRIBUTE ProtossSecondGas INTEGER
@ATTRIBUTE ProtossFirstExpansion INTEGER
@ATTRIBUTE ProtossSecondExpansion INTEGER
@ATTRIBUTE ProtossThirdExpansion INTEGER
@ATTRIBUTE ProtossFourthExpansion INTEGER
@ATTRIBUTE ProtossGateway INTEGER
@ATTRIBUTE ProtossSecondGatway INTEGER
@ATTRIBUTE ProtossThirdGatway INTEGER
@ATTRIBUTE ProtossFourthGatway INTEGER
@ATTRIBUTE ProtossCore INTEGER
@ATTRIBUTE ProtossZealot INTEGER
@ATTRIBUTE ProtossGoon INTEGER
@ATTRIBUTE ProtossRange INTEGER
@ATTRIBUTE ProtossForge INTEGER
@ATTRIBUTE ProtossCannon INTEGER
@ATTRIBUTE ProtossGroundWeapons1 INTEGER
@ATTRIBUTE ProtossGroundArmor1 INTEGER
@ATTRIBUTE ProtossShields1 INTEGER
@ATTRIBUTE ProtossGroundWeapons2 INTEGER
@ATTRIBUTE ProtossGroundArmor2 INTEGER
@ATTRIBUTE ProtossShields2 INTEGER
@ATTRIBUTE ProtossCitadel INTEGER
@ATTRIBUTE ProtossLegs INTEGER
@ATTRIBUTE ProtossArchives INTEGER
@ATTRIBUTE ProtossTemplar INTEGER
@ATTRIBUTE ProtossArchon INTEGER
@ATTRIBUTE ProtossStorm INTEGER
@ATTRIBUTE ProtossDarkTemplar INTEGER
@ATTRIBUTE ProtossDarkArchon INTEGER
@ATTRIBUTE ProtossMaelstorm INTEGER
@ATTRIBUTE ProtossRoboBay INTEGER
@ATTRIBUTE ProtossShuttle INTEGER
@ATTRIBUTE ProtossShuttleSpeed INTEGER
@ATTRIBUTE ProtossRoboSupport INTEGER
@ATTRIBUTE ProtossReavor INTEGER
@ATTRIBUTE ProtossReavorDamage INTEGER
@ATTRIBUTE ProtossReavorCapacity INTEGER
@ATTRIBUTE ProtossObservory INTEGER
@ATTRIBUTE ProtossObs INTEGER
@ATTRIBUTE ProtossStargate INTEGER
@ATTRIBUTE ProtossCorsair INTEGER
@ATTRIBUTE ProtossDisruptionWeb INTEGER
@ATTRIBUTE ProtossFleetBeason INTEGER
@ATTRIBUTE ProtossCarrier INTEGER
@ATTRIBUTE ProtossCarrierCapacity INTEGER
@ATTRIBUTE ProtossTribunal INTEGER
@ATTRIBUTE ProtossArbitor INTEGER
@ATTRIBUTE ProtossStatis INTEGER
@ATTRIBUTE ProtossRecall INTEGER
@ATTRIBUTE ProtossAirWeapons1 INTEGER
@ATTRIBUTE ProtossAirArmor1 INTEGER
@ATTRIBUTE ProtossAirWeapons2 INTEGER
@ATTRIBUTE ProtossAirArmor2 INTEGER
@ATTRIBUTE midBuild {FastLegs,FastDT,FastObs,ReaverDrop,Carrier,FastExpand,Unknown}

@DATA
1260,3100,3330,25115,22740,0,0,0,1955,2555,6570,10280,6185,2945,8065,7400,9305,15035,13225,0,0,0,0,0,23120,25460,27370,28660,29475,0,30150,0,0,15315,0,0,0,0,0,0,16710,17300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1190,3175,5235,17060,8205,8550,21160,26690,1875,2520,6225,15970,5730,2945,7540,6755,8260,9110,16865,28325,0,22870,32490,0,11705,13080,13180,17225,18015,20430,14380,0,0,18130,0,0,0,0,0,0,19965,22785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1175,3425,2410,13215,9700,12840,18645,25095,2040,12235,14525,14675,3080,13450,4110,7035,10890,15330,11700,0,0,16075,0,0,10100,12260,11545,13105,17525,13055,13880,0,0,4465,7920,9885,5775,6415,0,0,7415,8385,0,0,0,0,0,0,0,0,0,0,0,23065,0,0,ReaverDrop
1225,3355,2480,9640,6560,15810,0,0,1915,3750,8260,8990,2950,0,3945,5710,14970,18830,0,0,0,0,0,0,15990,0,0,0,0,0,0,0,0,6830,12845,14290,12880,23115,0,0,8195,9570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1195,3160,1785,16140,8740,14395,18895,0,2385,6170,6810,10340,3425,11455,9075,8835,6465,15720,23815,0,0,28380,0,0,4670,10855,6360,13005,17395,12950,7385,0,0,5235,6530,26010,24825,0,0,0,11350,14010,4425,5565,0,0,0,0,0,0,0,0,0,0,0,0,Carrier
1185,3235,2335,24390,10140,28935,0,0,1840,7000,15370,16780,2840,13580,4390,5440,15265,16165,16255,0,0,0,0,0,15690,16820,19775,22355,23460,26240,21100,0,0,4040,5340,0,0,0,0,0,5615,6170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1200,3884,3762,14914,2928,21198,0,0,3444,4800,7298,10782,4456,15618,5440,6550,20904,21850,21762,26012,0,26016,0,0,14976,16610,19952,21376,23952,21328,0,0,0,22884,28218,0,0,0,0,0,25998,26924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1192,3286,2580,13678,11202,15718,0,0,1876,5316,6612,7790,2982,3478,3996,4610,20224,23090,21332,0,0,26686,0,0,22194,25318,25292,27060,0,27038,26738,0,0,9226,16748,0,16974,17518,0,0,12162,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
710,1920,1375,9840,7540,8730,9550,0,1480,19295,0,0,7025,15735,19245,0,1705,2475,19235,0,9605,0,0,13860,15810,18250,18280,0,0,0,0,0,0,8310,9650,10675,9735,10650,13205,19195,0,0,19405,0,0,0,0,0,0,0,0,0,13850,18180,0,0,FastExpand
355,1265,775,12080,7195,19310,0,0,1020,1335,1845,3650,2160,2505,3285,0,2190,2910,12330,0,15070,0,0,0,0,0,0,0,0,0,0,0,0,13100,14560,15145,14550,15175,0,15405,0,0,14810,0,0,16295,0,0,0,0,0,0,15725,0,0,0,FastExpand
1265,3515,2470,20560,11830,15515,0,0,2065,6825,7665,15330,3100,7875,4750,5275,23810,24775,24725,0,0,0,0,0,5390,6425,16430,23845,26110,23705,17670,0,0,4290,5650,0,0,0,0,0,5725,7120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1230,3835,2195,0,17615,23850,0,0,1950,5600,7840,10460,2975,10135,7205,9785,21425,0,0,0,0,0,0,0,4010,9810,5330,11935,17700,11665,6380,0,0,4625,5955,0,0,0,0,0,6755,7365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1246,2998,9754,0,0,0,0,0,1900,2394,4506,12090,11216,2968,13176,12458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
1240,3102,2408,0,0,0,0,0,1980,3988,5624,9996,9476,2968,16584,16098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
1250,3405,2565,15965,12185,20385,0,0,1960,8290,11440,15245,3055,0,4110,6305,0,0,0,0,0,0,0,0,20640,0,0,0,0,0,0,0,0,5435,6925,9555,7025,7595,0,0,8480,9130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
1205,3670,2445,16400,13995,17355,0,0,2070,4810,7760,11330,3115,15050,4300,5760,8505,10470,9710,15150,23150,0,18570,0,0,0,0,0,0,0,0,0,0,4955,0,0,0,0,0,0,6510,7140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1272,1422,4640,0,16722,17860,0,0,2042,2566,6782,10700,6386,3066,8296,7942,18888,0,19884,0,0,0,0,0,14204,15306,15928,0,0,0,17200,0,0,10518,13376,0,0,0,0,0,11852,12582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1178,3638,2524,0,17342,0,0,0,1946,4192,4596,13526,3166,4156,7090,8752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1178,3348,4950,15342,9728,0,0,0,1932,2626,9892,10640,6502,3004,7974,7526,15378,0,16254,16262,0,0,17390,0,15300,0,0,0,0,0,0,0,0,11708,0,0,0,0,0,0,13754,15148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1244,3358,6360,0,15604,16186,0,0,2038,2772,5678,10552,6622,3068,7734,9128,17386,0,0,0,0,0,0,0,11808,0,13640,0,0,0,14690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1195,3160,4195,0,15345,0,0,0,1920,2585,9140,0,4960,2935,6375,6325,15605,16645,0,0,0,0,0,0,16205,0,0,0,0,0,0,0,0,8115,16270,0,16245,17175,0,0,9440,11650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1145,2530,3060,18320,13710,0,0,0,1775,5240,9455,14905,4430,2780,7500,7385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5765,7470,0,8375,9080,0,0,8885,9575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
1198,2800,3116,16584,9588,14600,0,0,1880,4230,11486,11938,3732,2876,4718,0,6714,7716,13438,0,0,0,0,0,4886,11586,6206,9706,16696,10486,7188,0,0,14450,0,0,0,0,0,0,16434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1170,3390,2400,0,8872,17880,0,0,1854,5732,11418,12226,3030,13012,4024,4170,17840,0,0,0,0,0,0,0,12000,13060,14158,0,0,0,15216,0,0,6830,0,0,0,0,0,0,8138,8722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1216,3168,2512,11156,9460,18264,34972,0,1972,5798,10224,10558,4128,2996,5418,5282,14230,15186,14968,21256,0,20428,0,0,10846,12438,11952,13472,14270,18186,13020,20366,0,6684,13164,38612,36892,37744,0,0,8026,8584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1164,3024,2364,15308,7304,13170,25148,38000,1820,5758,8738,9702,3742,2830,4896,5034,13896,14696,14762,18770,31114,37370,24514,35368,8528,9630,12250,13294,14242,32504,34898,0,0,6330,33908,0,0,0,0,0,7616,8158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1230,3144,0,0,0,0,0,0,1968,2738,4586,0,0,2950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
1122,3358,2410,0,0,0,0,0,1882,4224,0,0,2966,5004,3974,4982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
1190,2995,2640,3550,15170,0,0,0,2110,6525,16425,17950,5950,3160,7050,7765,11790,12670,16135,0,0,20435,0,0,8935,16170,9940,11115,0,11175,11110,0,0,10235,11525,0,0,0,0,0,13135,18560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1155,2800,6570,15895,5980,12730,24440,0,1865,6290,10115,14580,7610,2855,8810,14225,6850,8000,8460,20385,0,15370,0,0,8715,12020,10090,19085,0,18665,11095,0,0,13900,20625,0,0,0,0,0,15280,17750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1250,3200,3755,0,8475,13265,0,0,1990,2625,0,0,5350,2990,6510,6490,9220,9960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1240,3165,2505,15640,10845,0,0,0,1990,3535,12645,14760,4355,3050,5635,13415,8775,9800,15490,0,0,0,0,0,5755,12010,6765,8855,12205,8215,7785,0,0,14500,0,0,0,0,0,0,15995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
