@RELATION Starcraft_PvZ_Zerg

@ATTRIBUTE ZergPool INTEGER
@ATTRIBUTE ZergOverlord INTEGER
@ATTRIBUTE ZergZergling INTEGER
@ATTRIBUTE ZergZerglingSpeed INTEGER
@ATTRIBUTE ZergCrackling INTEGER
@ATTRIBUTE ZergBurrow INTEGER
@ATTRIBUTE ZergGas INTEGER
@ATTRIBUTE ZergSecondGas INTEGER
@ATTRIBUTE ZergSecondHatch INTEGER
@ATTRIBUTE ZergThirdHatch INTEGER
@ATTRIBUTE ZergFourthHatch INTEGER
@ATTRIBUTE ZergFifthHatch INTEGER
@ATTRIBUTE ZergSixthHatch INTEGER
@ATTRIBUTE ZergSeventhHatch INTEGER
@ATTRIBUTE ZergHydraDen INTEGER
@ATTRIBUTE ZergHydra INTEGER
@ATTRIBUTE ZergHydraRange INTEGER
@ATTRIBUTE ZergHydraSpeed INTEGER
@ATTRIBUTE ZergLurker INTEGER
@ATTRIBUTE ZergLair INTEGER
@ATTRIBUTE ZergSpire INTEGER
@ATTRIBUTE ZergMutalisk INTEGER
@ATTRIBUTE ZergScourge INTEGER
@ATTRIBUTE ZergAirAttack INTEGER
@ATTRIBUTE ZergAirArmor INTEGER
@ATTRIBUTE ZergQueenNest INTEGER
@ATTRIBUTE ZergQueen INTEGER
@ATTRIBUTE ZergHive INTEGER
@ATTRIBUTE ZergGreaterSpire INTEGER
@ATTRIBUTE ZergGardian INTEGER
@ATTRIBUTE ZergDevour INTEGER
@ATTRIBUTE ZergUltraliskCavern INTEGER
@ATTRIBUTE ZergUltralisk INTEGER
@ATTRIBUTE ZergUltraliskArmor INTEGER
@ATTRIBUTE ZergUltraliskSpeed INTEGER
@ATTRIBUTE ZergDefilerMound INTEGER
@ATTRIBUTE ZergDefiler INTEGER
@ATTRIBUTE ZergConsume INTEGER
@ATTRIBUTE ZergevoDen INTEGER
@ATTRIBUTE ZergMeleeWeapons1 INTEGER
@ATTRIBUTE ZergRangeWeapons1 INTEGER
@ATTRIBUTE ZergGroundArmor1 INTEGER
@ATTRIBUTE ZergMeleeWeapons2 INTEGER
@ATTRIBUTE ZergRangeWeapons2 INTEGER
@ATTRIBUTE ZergGroundArmor2 INTEGER
@ATTRIBUTE ZergCreep INTEGER
@ATTRIBUTE ZergSunken INTEGER
@ATTRIBUTE ZergSpore INTEGER
@ATTRIBUTE midBuild {TwoHatchMuta,ThreeHatchMuta,HydraRush,Standard,HydraMass,Lurker,Unknown}

@DATA
3015,1215,4285,12365,28250,0,6330,13190,2390,6025,17550,18605,27000,28730,7410,8685,10020,8245,0,14330,15900,0,0,0,0,20945,0,25785,0,0,0,0,0,0,0,0,0,0,12630,25835,13350,17260,0,17430,21360,4335,5325,0,HydraMass
1600,2028,2880,3546,0,0,2198,0,4658,11248,0,0,0,0,0,0,0,0,0,6214,8432,10348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TwoHatchMuta
3035,1405,4295,6515,0,5935,4690,9045,2565,4410,7520,8760,9805,14160,10210,11655,24775,22140,13905,8950,0,0,0,0,0,24605,0,25865,0,0,0,0,0,0,0,27755,0,0,22515,0,24370,0,0,0,0,10875,11980,0,HydraMass
1650,2045,2930,3575,0,8420,2195,0,4695,23855,31150,0,0,0,7410,8140,0,0,13180,8955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18625,0,28405,20235,0,32735,0,10825,11540,0,HydraRush
2405,1265,3825,7890,29000,15430,6485,13880,3415,6015,9130,13090,16900,17070,15445,25550,25395,17700,0,18915,20525,22455,22760,23515,0,25865,47810,27120,0,0,0,29040,35060,33370,30590,30625,0,31750,10055,22140,22155,22150,27040,27050,27045,5435,5830,13225,HydraMass
2170,1365,3445,3700,0,27665,2425,10885,4175,6145,14620,16230,16975,18720,10050,11960,16360,14795,12710,9305,13830,16920,15940,0,0,19955,0,21380,23225,25115,31390,0,0,0,0,0,0,0,8020,0,0,16065,0,0,20180,6345,9125,0,HydraMass
2405,1265,3825,7890,29000,15430,6485,13880,3415,6015,9130,13090,16900,17070,15445,25550,25395,17700,0,18915,20525,22455,22760,23515,0,25865,47810,27120,0,0,0,29040,35060,33370,30590,30625,0,31750,10055,22140,22155,22150,27040,27050,27045,5435,5830,13225,HydraMass
2170,1365,3445,3700,0,27665,2425,10885,4175,6145,14620,16230,16975,18720,10050,11960,16360,14795,12710,9305,13830,16920,15940,0,0,19955,0,21380,23225,25115,31390,0,0,0,0,0,0,0,8020,0,0,16065,0,0,20180,6345,9125,0,HydraMass
1660,2230,2925,8110,0,0,2060,9450,5325,0,0,0,0,0,9505,0,0,0,0,4190,5790,7720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TwoHatchMuta
3660,1428,18734,22538,0,0,3024,0,2672,5766,13224,17704,19078,0,6138,6782,9840,7298,0,5008,26638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7230,0,7966,12132,0,16646,23804,8042,24300,8496,Standard
