@RELATION Starcraft_TvT_Terran

@ATTRIBUTE TerranDepot INTEGER
@ATTRIBUTE TerranGas INTEGER
@ATTRIBUTE TerranSecondGas INTEGER
@ATTRIBUTE TerranExpansion INTEGER
@ATTRIBUTE TerranSecondExpansion INTEGER
@ATTRIBUTE TerranThirdExpansion INTEGER
@ATTRIBUTE TerranFourthExpansion INTEGER
@ATTRIBUTE TerranBarracks INTEGER
@ATTRIBUTE TerranSecondBarracks INTEGER
@ATTRIBUTE TerranThirdBarracks INTEGER
@ATTRIBUTE TerranMarine INTEGER
@ATTRIBUTE TerranMedic INTEGER
@ATTRIBUTE TerranFirebat INTEGER
@ATTRIBUTE TerranBunker INTEGER
@ATTRIBUTE TerranAcademy INTEGER
@ATTRIBUTE TerranStem INTEGER
@ATTRIBUTE TerranComsat INTEGER
@ATTRIBUTE TerranEbay INTEGER
@ATTRIBUTE TerranTurret INTEGER
@ATTRIBUTE TerranInfantryAttack1 INTEGER
@ATTRIBUTE TerranInfantryArmor1 INTEGER
@ATTRIBUTE TerranInfantryAttack2 INTEGER
@ATTRIBUTE TerranInfantryArmor2 INTEGER
@ATTRIBUTE TerranFactory INTEGER
@ATTRIBUTE TerranSecondFactory INTEGER
@ATTRIBUTE TerranThirdFactory INTEGER
@ATTRIBUTE TerranMachineShop INTEGER
@ATTRIBUTE TerranSiege INTEGER
@ATTRIBUTE TerranMines INTEGER
@ATTRIBUTE TerranVulture INTEGER
@ATTRIBUTE TerranTank INTEGER
@ATTRIBUTE TerranGoliath INTEGER
@ATTRIBUTE TerranArmory INTEGER
@ATTRIBUTE TerranSecondArmory INTEGER
@ATTRIBUTE TerranMetalAttack1 INTEGER
@ATTRIBUTE TerranMetalArmor1 INTEGER
@ATTRIBUTE TerranMetalAttack2 INTEGER
@ATTRIBUTE TerranMetalArmor2 INTEGER
@ATTRIBUTE TerranStarport INTEGER
@ATTRIBUTE TerranControlTower INTEGER
@ATTRIBUTE TerranWraith INTEGER
@ATTRIBUTE TerranCloak INTEGER
@ATTRIBUTE TerranDropship INTEGER
@ATTRIBUTE TerranValkyrie INTEGER
@ATTRIBUTE TerranScienceFacility INTEGER
@ATTRIBUTE TerranVessel INTEGER
@ATTRIBUTE TerranGhost INTEGER
@ATTRIBUTE TerranNuke INTEGER
@ATTRIBUTE TerranBattlecruiser INTEGER
@ATTRIBUTE TerranAirAttack INTEGER
@ATTRIBUTE TerranAirArmor INTEGER
@ATTRIBUTE midBuild {Bio,TwoFactory,VultureHarass,SiegeExpand,Standard,FastDropship,Unknown}

@DATA
1390,2466,10804,8158,14348,16532,17686,2100,15344,0,0,0,0,0,5610,0,6888,9914,11082,0,0,0,0,3706,4606,16974,7688,8314,0,0,8412,6396,5158,0,16582,0,0,0,4974,6116,0,0,6728,0,0,0,0,0,0,0,0,TwoFactory
1424,2614,13568,9674,12106,15474,16162,2020,10296,0,3282,0,0,0,11824,0,13786,13904,0,0,0,0,0,4102,4904,13724,5670,9892,0,0,9886,6598,5338,0,0,0,0,0,5496,6832,0,0,7636,0,0,0,0,0,0,0,0,TwoFactory
1435,2600,9385,7335,9945,10370,14660,2210,33690,33735,3470,0,0,0,13340,0,15090,18420,24325,0,0,0,0,3790,5065,8235,11045,12300,0,5400,11920,6320,5085,0,19610,0,0,0,6575,7840,9010,9015,11895,0,0,0,0,0,0,0,0,TwoFactory
1410,2585,10675,8335,15470,18855,22455,2145,11035,38885,3410,0,0,0,12745,0,14325,9520,10705,0,0,0,0,3990,5305,12635,8150,9155,0,5410,8800,6715,5360,5420,13520,0,0,0,5830,7125,0,0,7905,0,0,0,0,0,0,0,0,TwoFactory
1466,1880,0,16180,20102,29236,0,2580,14264,0,0,0,0,0,7396,0,8962,0,0,0,0,0,0,3854,4620,5114,6000,28428,21582,5626,28384,6688,5158,0,0,0,0,0,5416,6610,0,0,7218,0,0,0,0,0,0,0,0,TwoFactory
1436,1922,22324,14310,17434,19360,21288,2610,4086,17172,4248,0,0,0,21842,0,25054,7960,9334,0,0,0,0,4038,4880,0,5298,7180,0,0,5906,21120,19642,0,0,0,0,0,5282,6576,11742,0,7310,0,0,0,0,0,0,0,0,TwoFactory
1364,1830,11784,14662,15058,16576,19122,2576,6652,7042,3816,0,0,4834,8784,0,0,19030,21844,0,0,0,0,4026,5416,0,6080,14318,0,5390,14026,6802,5382,0,6730,0,0,0,7774,9304,0,0,9948,0,0,0,0,0,0,0,0,VultureHarass
1598,2360,0,12852,16676,0,0,2080,3774,4710,3856,0,0,0,13260,0,15114,8726,10722,0,0,0,0,3602,5616,19892,5908,7248,11352,4874,6964,23816,10228,0,0,0,0,0,4900,6268,0,0,6894,0,0,0,0,0,0,0,0,VultureHarass
1745,2500,9155,6940,9110,17180,18705,2565,3940,24270,0,38605,0,0,12535,0,14745,7690,9660,0,0,0,0,3920,8385,15815,5645,9225,0,5170,6405,7175,5180,15775,6520,12245,16740,17115,12390,13555,23185,23235,14620,0,13615,42960,27280,66560,41100,22560,28190,VultureHarass
1445,2630,11785,6915,8885,9260,9645,2215,7020,9295,3495,0,0,4840,8370,0,9790,9035,10185,0,0,0,0,4115,14455,15825,5390,6250,0,0,6005,0,7115,20755,8740,43700,20580,0,8180,9395,45255,45280,10690,14350,13695,0,0,0,22760,14790,22445,SiegeExpand
