@RELATION Starcraft_TvZ_Zerg

@ATTRIBUTE ZergPool INTEGER
@ATTRIBUTE ZergOverlord INTEGER
@ATTRIBUTE ZergZergling INTEGER
@ATTRIBUTE ZergZerglingSpeed INTEGER
@ATTRIBUTE ZergCrackling INTEGER
@ATTRIBUTE ZergBurrow INTEGER
@ATTRIBUTE ZergGas INTEGER
@ATTRIBUTE ZergSecondGas INTEGER
@ATTRIBUTE ZergSecondHatch INTEGER
@ATTRIBUTE ZergThirdHatch INTEGER
@ATTRIBUTE ZergFourthHatch INTEGER
@ATTRIBUTE ZergFifthHatch INTEGER
@ATTRIBUTE ZergSixthHatch INTEGER
@ATTRIBUTE ZergSeventhHatch INTEGER
@ATTRIBUTE ZergHydraDen INTEGER
@ATTRIBUTE ZergHydra INTEGER
@ATTRIBUTE ZergHydraRange INTEGER
@ATTRIBUTE ZergHydraSpeed INTEGER
@ATTRIBUTE ZergLurker INTEGER
@ATTRIBUTE ZergLair INTEGER
@ATTRIBUTE ZergSpire INTEGER
@ATTRIBUTE ZergMutalisk INTEGER
@ATTRIBUTE ZergScourge INTEGER
@ATTRIBUTE ZergAirAttack INTEGER
@ATTRIBUTE ZergAirArmor INTEGER
@ATTRIBUTE ZergQueenNest INTEGER
@ATTRIBUTE ZergQueen INTEGER
@ATTRIBUTE ZergHive INTEGER
@ATTRIBUTE ZergGreaterSpire INTEGER
@ATTRIBUTE ZergGardian INTEGER
@ATTRIBUTE ZergDevour INTEGER
@ATTRIBUTE ZergUltraliskCavern INTEGER
@ATTRIBUTE ZergUltralisk INTEGER
@ATTRIBUTE ZergUltraliskArmor INTEGER
@ATTRIBUTE ZergUltraliskSpeed INTEGER
@ATTRIBUTE ZergDefilerMound INTEGER
@ATTRIBUTE ZergDefiler INTEGER
@ATTRIBUTE ZergConsume INTEGER
@ATTRIBUTE ZergevoDen INTEGER
@ATTRIBUTE ZergMeleeWeapons1 INTEGER
@ATTRIBUTE ZergRangeWeapons1 INTEGER
@ATTRIBUTE ZergGroundArmor1 INTEGER
@ATTRIBUTE ZergMeleeWeapons2 INTEGER
@ATTRIBUTE ZergRangeWeapons2 INTEGER
@ATTRIBUTE ZergGroundArmor2 INTEGER
@ATTRIBUTE ZergCreep INTEGER
@ATTRIBUTE ZergSunken INTEGER
@ATTRIBUTE ZergSpore INTEGER
@ATTRIBUTE midBuild {TwoHatchMuta,ThreeHatchMuta,HydraRush,Standard,HydraMass,Lurker,Unknown}

@DATA
2835,1460,39205,40800,43250,0,1585,11455,4885,9055,20190,21930,22370,23325,25680,26370,30510,26385,51325,4080,5870,7770,8325,9870,0,17605,0,19595,21435,28245,0,21615,24090,35135,27055,25650,0,0,23465,43890,24270,24285,0,30750,30760,11605,12030,0,TwoHatchMuta
3150,1380,4440,0,0,0,3360,0,2535,0,0,0,0,0,6260,0,0,0,0,4610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7390,7815,0,HydraRush
2985,1415,4255,16130,17675,0,3375,14225,2575,4560,11500,19825,20995,26125,9000,9825,0,0,11730,5905,16005,0,18150,0,0,12500,14000,15820,0,0,0,0,0,0,0,20850,21865,21845,20590,21790,0,0,26795,0,0,7370,7785,0,HydraMass
3116,1344,4530,0,0,4348,2510,12216,2456,9782,10670,13090,19150,20938,5588,14190,21022,18978,16204,4454,6060,7950,24990,10962,0,18198,0,19262,0,0,0,30104,32264,0,31522,21472,22698,25628,18126,30950,18954,18944,0,23548,23562,4368,4884,0,Standard
2455,1200,3865,4075,0,0,1520,2225,8525,0,0,0,0,0,4515,6810,0,0,7395,3725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lurker
3298,1418,4638,0,0,0,3458,7454,3002,11182,11828,15612,19864,0,5954,8270,21026,10900,9260,5150,0,0,0,0,0,12560,13864,21118,0,0,0,0,0,0,0,24318,25668,0,7890,0,10136,21044,0,15124,0,5028,5448,9310,Lurker
1690,2325,2990,4660,0,0,2010,0,0,0,0,0,0,0,4355,0,0,0,0,3550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HydraRush
3075,1525,4365,7280,25965,7600,3335,16800,2650,16345,17650,19935,31835,33110,5885,7860,34080,20310,8580,4730,25630,29375,34705,0,0,22795,0,23955,31255,33240,0,28775,0,0,0,0,0,0,16675,17750,47270,17760,24595,0,24605,29675,30435,0,Lurker
3130,1425,4385,5730,0,27910,3355,21275,2650,15910,23120,24950,26150,26470,7965,8910,27980,25985,11865,4600,12505,14600,23235,0,0,28325,0,0,0,0,0,0,0,0,0,0,0,0,19010,19850,0,19855,24750,0,24765,0,0,0,Lurker
2310,1445,3590,8045,0,0,5250,7615,3145,4230,0,0,0,0,0,0,0,0,0,7190,8725,10625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5160,5590,0,ThreeHatchMuta
3376,1360,4856,11888,26836,39352,1524,3632,2712,13432,13632,14208,20796,20956,4768,5636,19200,15616,11392,5260,6960,8808,9080,0,0,23888,0,24884,28608,30880,0,0,0,0,0,0,0,0,11956,23332,12696,18600,27616,18176,23308,4904,7036,0,HydraRush
3090,1355,4390,28015,29585,16015,6240,8245,2610,12640,16635,17875,19000,26985,8750,10465,14745,12885,11780,7730,13715,0,15605,0,0,24480,0,25815,0,0,0,27980,29610,0,29555,0,0,0,20465,0,22450,22465,0,27235,27260,6015,6420,0,Lurker
3245,1380,4540,20955,22555,18245,5210,7030,2685,4740,13300,22085,23340,23965,7270,8220,12290,10645,10345,6730,9905,0,11950,0,0,18465,0,19580,0,0,0,21545,23015,25215,23150,0,0,0,13865,23700,14710,14965,0,18780,19060,5305,5695,0,HydraMass
3146,1404,28300,25336,28284,0,3606,9052,2198,7780,13152,14978,19392,27200,5916,7152,10844,9310,8852,5132,13984,23494,15888,0,0,17580,33972,18720,21866,24866,0,33346,36392,0,39514,20660,22094,21816,11816,32398,12652,16224,0,16736,20314,5264,5730,0,Standard
3078,1348,5664,27496,31686,0,4368,14406,2650,4270,10708,14788,17668,18964,6192,7250,8804,6906,20896,15526,27298,34422,30308,0,0,21684,0,23560,33048,36732,0,0,0,0,0,27280,28928,31696,11734,33082,12508,12596,37160,17146,17154,5526,6272,0,HydraMass
3344,1342,10240,0,0,0,4680,6118,2758,4202,9674,12046,0,0,0,0,0,0,0,6010,7576,9500,0,9506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5116,5472,0,ThreeHatchMuta
2850,1440,26662,27526,0,0,1716,17730,4950,10270,14636,20556,22940,25896,5464,7878,10048,8528,8368,4118,0,0,0,0,0,20362,0,22452,0,0,0,0,0,0,0,0,0,0,16470,0,17286,0,0,21352,0,13752,14254,0,Lurker
3080,1408,5778,11544,25766,0,4134,6464,2174,6966,14964,15318,18240,22598,6168,7730,11228,9686,8774,5426,9086,25194,16888,0,0,21302,0,23576,25714,29430,0,26174,0,0,0,25754,26922,26912,12990,0,13720,13730,0,20568,22358,4164,4518,0,Standard
3135,1420,5350,12385,40150,30675,3630,7155,2265,8430,11990,12620,17285,17785,5845,8005,13475,13505,8975,4985,21875,42075,28530,0,0,30395,0,31400,43155,0,44980,0,0,0,0,34060,35755,35710,15355,40125,17680,17690,0,24245,17820,5080,5515,0,Standard
