@RELATION Starcraft_ZvZ_Zerg

@ATTRIBUTE ZergPool INTEGER
@ATTRIBUTE ZergOverlord INTEGER
@ATTRIBUTE ZergZergling INTEGER
@ATTRIBUTE ZergZerglingSpeed INTEGER
@ATTRIBUTE ZergCrackling INTEGER
@ATTRIBUTE ZergBurrow INTEGER
@ATTRIBUTE ZergGas INTEGER
@ATTRIBUTE ZergSecondGas INTEGER
@ATTRIBUTE ZergSecondHatch INTEGER
@ATTRIBUTE ZergThirdHatch INTEGER
@ATTRIBUTE ZergFourthHatch INTEGER
@ATTRIBUTE ZergFifthHatch INTEGER
@ATTRIBUTE ZergSixthHatch INTEGER
@ATTRIBUTE ZergSeventhHatch INTEGER
@ATTRIBUTE ZergHydraDen INTEGER
@ATTRIBUTE ZergHydra INTEGER
@ATTRIBUTE ZergHydraRange INTEGER
@ATTRIBUTE ZergHydraSpeed INTEGER
@ATTRIBUTE ZergLurker INTEGER
@ATTRIBUTE ZergLair INTEGER
@ATTRIBUTE ZergSpire INTEGER
@ATTRIBUTE ZergMutalisk INTEGER
@ATTRIBUTE ZergScourge INTEGER
@ATTRIBUTE ZergAirAttack INTEGER
@ATTRIBUTE ZergAirArmor INTEGER
@ATTRIBUTE ZergQueenNest INTEGER
@ATTRIBUTE ZergQueen INTEGER
@ATTRIBUTE ZergHive INTEGER
@ATTRIBUTE ZergGreaterSpire INTEGER
@ATTRIBUTE ZergGardian INTEGER
@ATTRIBUTE ZergDevour INTEGER
@ATTRIBUTE ZergUltraliskCavern INTEGER
@ATTRIBUTE ZergUltralisk INTEGER
@ATTRIBUTE ZergUltraliskArmor INTEGER
@ATTRIBUTE ZergUltraliskSpeed INTEGER
@ATTRIBUTE ZergDefilerMound INTEGER
@ATTRIBUTE ZergDefiler INTEGER
@ATTRIBUTE ZergConsume INTEGER
@ATTRIBUTE ZergevoDen INTEGER
@ATTRIBUTE ZergMeleeWeapons1 INTEGER
@ATTRIBUTE ZergRangeWeapons1 INTEGER
@ATTRIBUTE ZergGroundArmor1 INTEGER
@ATTRIBUTE ZergMeleeWeapons2 INTEGER
@ATTRIBUTE ZergRangeWeapons2 INTEGER
@ATTRIBUTE ZergGroundArmor2 INTEGER
@ATTRIBUTE ZergCreep INTEGER
@ATTRIBUTE ZergSunken INTEGER
@ATTRIBUTE ZergSpore INTEGER
@ATTRIBUTE midBuild {TwoHatchMuta,ThreeHatchMuta,HydraRush,Standard,HydraMass,Lurker,Unknown}

@DATA
2635,1360,3895,4620,28355,22960,2380,12750,3555,10425,22495,23050,29060,37350,0,0,0,0,0,4185,5715,7585,8715,13840,17925,24080,0,25250,27820,0,32400,0,0,0,0,0,0,0,9705,21180,0,0,0,0,0,10160,0,10665,TwoHatchMuta
2605,1440,4090,6240,0,0,1630,2380,3855,10160,17670,25970,30445,32410,38095,39695,0,0,40820,4410,5940,7845,8175,11690,15705,0,0,0,0,0,0,0,0,0,0,0,0,0,10545,0,0,0,0,0,0,11240,20680,11700,TwoHatchMuta
2622,1344,3884,11928,0,0,1564,20646,4694,18116,25614,0,0,0,0,0,0,0,0,3898,5518,7508,7430,9040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6958,0,0,0,0,0,0,7694,20876,8082,TwoHatchMuta
2932,1354,4192,4948,0,0,1636,3096,2428,10550,19382,25704,0,0,12312,13042,16428,13796,22948,4408,5948,0,7802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6696,7968,12322,13468,0,0,19980,7028,24346,7474,TwoHatchMuta
2635,1360,3895,4620,28355,22960,2380,12750,3555,10425,22495,23050,29060,37350,0,0,0,0,0,4185,5715,7585,8715,13840,17925,24080,0,25250,27820,0,32400,0,0,0,0,0,0,0,9705,21180,0,0,0,0,0,10160,0,10665,TwoHatchMuta
2605,1440,4090,6240,0,0,1630,2380,3855,10160,17670,25970,30445,32410,38095,39695,0,0,40820,4410,5940,7845,8175,11690,15705,0,0,0,0,0,0,0,0,0,0,0,0,0,10545,0,0,0,0,0,0,11240,20680,11700,TwoHatchMuta
2622,1344,3884,11928,0,0,1564,20646,4694,18116,25614,0,0,0,0,0,0,0,0,3898,5518,7508,7430,9040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6958,0,0,0,0,0,0,7694,20876,8082,TwoHatchMuta
2932,1354,4192,4948,0,0,1636,3096,2428,10550,19382,25704,0,0,12312,13042,16428,13796,22948,4408,5948,0,7802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6696,7968,12322,13468,0,0,19980,7028,24346,7474,TwoHatchMuta
2360,1495,3700,6280,0,0,2245,15695,3585,13950,0,0,0,0,0,0,0,0,0,4445,6035,8210,20215,24150,13145,0,0,0,0,0,0,0,0,0,0,0,0,0,7435,17920,0,0,0,0,0,7895,21410,9655,TwoHatchMuta
2915,1535,4350,6320,0,0,2340,15655,3925,4090,12015,14435,24215,0,0,0,0,0,0,4565,6155,8115,8175,15565,9535,0,0,0,0,0,0,0,0,0,0,0,0,0,8860,0,0,0,0,0,0,9835,0,11385,ThreeHatchMuta
