@RELATION Starcraft_PvT_Terran

@ATTRIBUTE TerranDepot INTEGER
@ATTRIBUTE TerranGas INTEGER
@ATTRIBUTE TerranSecondGas INTEGER
@ATTRIBUTE TerranExpansion INTEGER
@ATTRIBUTE TerranSecondExpansion INTEGER
@ATTRIBUTE TerranThirdExpansion INTEGER
@ATTRIBUTE TerranFourthExpansion INTEGER
@ATTRIBUTE TerranBarracks INTEGER
@ATTRIBUTE TerranSecondBarracks INTEGER
@ATTRIBUTE TerranThirdBarracks INTEGER
@ATTRIBUTE TerranMarine INTEGER
@ATTRIBUTE TerranMedic INTEGER
@ATTRIBUTE TerranFirebat INTEGER
@ATTRIBUTE TerranBunker INTEGER
@ATTRIBUTE TerranAcademy INTEGER
@ATTRIBUTE TerranStem INTEGER
@ATTRIBUTE TerranComsat INTEGER
@ATTRIBUTE TerranEbay INTEGER
@ATTRIBUTE TerranTurret INTEGER
@ATTRIBUTE TerranInfantryAttack1 INTEGER
@ATTRIBUTE TerranInfantryArmor1 INTEGER
@ATTRIBUTE TerranInfantryAttack2 INTEGER
@ATTRIBUTE TerranInfantryArmor2 INTEGER
@ATTRIBUTE TerranFactory INTEGER
@ATTRIBUTE TerranSecondFactory INTEGER
@ATTRIBUTE TerranThirdFactory INTEGER
@ATTRIBUTE TerranMachineShop INTEGER
@ATTRIBUTE TerranSiege INTEGER
@ATTRIBUTE TerranMines INTEGER
@ATTRIBUTE TerranVulture INTEGER
@ATTRIBUTE TerranTank INTEGER
@ATTRIBUTE TerranGoliath INTEGER
@ATTRIBUTE TerranArmory INTEGER
@ATTRIBUTE TerranSecondArmory INTEGER
@ATTRIBUTE TerranMetalAttack1 INTEGER
@ATTRIBUTE TerranMetalArmor1 INTEGER
@ATTRIBUTE TerranMetalAttack2 INTEGER
@ATTRIBUTE TerranMetalArmor2 INTEGER
@ATTRIBUTE TerranStarport INTEGER
@ATTRIBUTE TerranControlTower INTEGER
@ATTRIBUTE TerranWraith INTEGER
@ATTRIBUTE TerranCloak INTEGER
@ATTRIBUTE TerranDropship INTEGER
@ATTRIBUTE TerranValkyrie INTEGER
@ATTRIBUTE TerranScienceFacility INTEGER
@ATTRIBUTE TerranVessel INTEGER
@ATTRIBUTE TerranGhost INTEGER
@ATTRIBUTE TerranNuke INTEGER
@ATTRIBUTE TerranBattlecruiser INTEGER
@ATTRIBUTE TerranAirAttack INTEGER
@ATTRIBUTE TerranAirArmor INTEGER
@ATTRIBUTE midBuild {Bio,TwoFactory,VultureHarass,SiegeExpand,Standard,FastDropship,Unknown}

@DATA
1398,2806,12830,9034,11846,13710,14084,2012,12262,0,3264,0,0,6212,14170,0,15992,7218,10486,0,0,0,0,4052,4192,4940,5492,6922,8212,6330,6140,0,0,0,0,0,0,0,13160,14946,0,0,15920,0,0,0,0,0,0,0,0,TwoFactory
1435,2805,10405,7075,12910,14600,17580,2210,9120,18415,3575,0,46740,0,11345,61135,12720,8180,10595,0,0,0,0,4040,4810,8065,5360,9230,6025,6150,6015,35730,20900,28065,24110,24115,29845,29870,8530,10330,0,0,10980,0,30750,0,38770,39645,0,0,0,TwoFactory
1465,2550,22220,7245,19225,23355,26665,2245,4370,7950,4575,0,0,4755,8340,0,9810,12825,13945,0,0,0,0,3800,9190,0,5085,5960,10155,9935,5835,0,0,0,0,0,0,0,20075,23270,0,0,24975,0,0,0,0,0,0,0,0,SiegeExpand
1395,2565,14405,10895,13405,13820,15700,2215,3805,0,0,0,0,0,15595,0,18530,7735,9340,0,0,0,0,3895,5330,15865,5610,7590,0,0,6245,6835,5425,0,14735,20055,0,0,5200,6480,17140,0,7285,0,0,0,0,0,0,0,0,Bio
1520,2170,18485,10370,13885,14320,23790,2925,10995,19260,0,0,0,0,12975,0,14320,8235,9190,0,0,0,0,4300,4955,17365,5730,8350,0,0,6375,6855,5550,26115,20120,45450,45435,49560,5915,7045,0,0,7720,0,27900,0,0,0,34710,26180,27755,TwoFactory
1485,2635,15855,11930,15015,22555,25325,2215,0,0,3500,0,0,0,12315,0,13670,9305,10410,0,0,0,0,4150,5730,13475,5425,12695,6525,6855,6060,0,0,0,0,0,0,0,22225,29900,24510,0,0,0,27805,31105,0,0,0,0,0,Standard
1638,2470,16492,7486,14568,19230,23368,2074,6814,7108,3496,0,0,0,11142,0,12392,8562,9638,0,0,0,0,3780,4904,10992,5040,7614,5898,6474,5660,17008,14926,24114,17614,0,25134,0,20498,22098,0,0,0,0,23590,25176,0,0,0,0,0,TwoFactory
1455,2665,15755,11140,13710,22060,0,2065,0,0,3550,0,0,10090,13485,0,15975,7465,9450,0,0,0,0,4215,9230,12465,5530,6285,9950,11030,6165,0,0,0,0,0,0,0,5500,6650,0,0,7380,0,0,0,0,0,0,0,0,FastDropship
1450,5165,14700,12455,0,0,0,2150,2640,6705,3425,6570,22145,0,4980,6240,7565,7685,10620,0,0,0,0,7800,13475,20120,9445,11065,10315,10325,11045,0,0,0,0,0,0,0,17695,18915,0,0,20645,0,0,0,0,0,0,0,0,Bio
1485,2635,15855,11930,15015,22555,25325,2215,0,0,3500,0,0,0,12315,0,13670,9305,10410,0,0,0,0,4150,5730,13475,5425,12695,6525,6855,6060,0,0,0,0,0,0,0,22225,29900,24510,0,0,0,27805,31105,0,0,0,0,0,Standard
