@RELATION Starcraft_PvZ_Protoss

@ATTRIBUTE ProtossPylon INTEGER
@ATTRIBUTE ProtossSecondPylon INTEGER
@ATTRIBUTE ProtossFirstGas INTEGER
@ATTRIBUTE ProtossSecondGas INTEGER
@ATTRIBUTE ProtossFirstExpansion INTEGER
@ATTRIBUTE ProtossSecondExpansion INTEGER
@ATTRIBUTE ProtossThirdExpansion INTEGER
@ATTRIBUTE ProtossFourthExpansion INTEGER
@ATTRIBUTE ProtossGateway INTEGER
@ATTRIBUTE ProtossSecondGatway INTEGER
@ATTRIBUTE ProtossThirdGatway INTEGER
@ATTRIBUTE ProtossFourthGatway INTEGER
@ATTRIBUTE ProtossCore INTEGER
@ATTRIBUTE ProtossZealot INTEGER
@ATTRIBUTE ProtossGoon INTEGER
@ATTRIBUTE ProtossRange INTEGER
@ATTRIBUTE ProtossForge INTEGER
@ATTRIBUTE ProtossCannon INTEGER
@ATTRIBUTE ProtossGroundWeapons1 INTEGER
@ATTRIBUTE ProtossGroundArmor1 INTEGER
@ATTRIBUTE ProtossShields1 INTEGER
@ATTRIBUTE ProtossGroundWeapons2 INTEGER
@ATTRIBUTE ProtossGroundArmor2 INTEGER
@ATTRIBUTE ProtossShields2 INTEGER
@ATTRIBUTE ProtossCitadel INTEGER
@ATTRIBUTE ProtossLegs INTEGER
@ATTRIBUTE ProtossArchives INTEGER
@ATTRIBUTE ProtossTemplar INTEGER
@ATTRIBUTE ProtossArchon INTEGER
@ATTRIBUTE ProtossStorm INTEGER
@ATTRIBUTE ProtossDarkTemplar INTEGER
@ATTRIBUTE ProtossDarkArchon INTEGER
@ATTRIBUTE ProtossMaelstorm INTEGER
@ATTRIBUTE ProtossRoboBay INTEGER
@ATTRIBUTE ProtossShuttle INTEGER
@ATTRIBUTE ProtossShuttleSpeed INTEGER
@ATTRIBUTE ProtossRoboSupport INTEGER
@ATTRIBUTE ProtossReavor INTEGER
@ATTRIBUTE ProtossReavorDamage INTEGER
@ATTRIBUTE ProtossReavorCapacity INTEGER
@ATTRIBUTE ProtossObservory INTEGER
@ATTRIBUTE ProtossObs INTEGER
@ATTRIBUTE ProtossStargate INTEGER
@ATTRIBUTE ProtossCorsair INTEGER
@ATTRIBUTE ProtossDisruptionWeb INTEGER
@ATTRIBUTE ProtossFleetBeason INTEGER
@ATTRIBUTE ProtossCarrier INTEGER
@ATTRIBUTE ProtossCarrierCapacity INTEGER
@ATTRIBUTE ProtossTribunal INTEGER
@ATTRIBUTE ProtossArbitor INTEGER
@ATTRIBUTE ProtossStatis INTEGER
@ATTRIBUTE ProtossRecall INTEGER
@ATTRIBUTE ProtossAirWeapons1 INTEGER
@ATTRIBUTE ProtossAirArmor1 INTEGER
@ATTRIBUTE ProtossAirWeapons2 INTEGER
@ATTRIBUTE ProtossAirArmor2 INTEGER
@ATTRIBUTE midBuild {FastLegs,FastDT,FastObs,ReaverDrop,Carrier,FastExpand,Unknown}

@DATA
1305,3065,5900,16740,15280,24440,27485,0,1900,2465,11650,20435,5970,2890,6995,7660,15900,0,16655,21215,0,0,25780,0,0,0,0,0,0,0,0,0,0,11045,12370,19200,12620,13420,0,0,19380,20465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
1290,3132,5144,0,0,0,0,0,1902,2478,9124,9536,0,2896,0,0,6896,7662,8006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
1225,3745,7235,8195,2900,17205,20880,24475,3415,4115,9405,12385,8035,4470,9090,10740,6370,7315,8670,9465,21225,15415,17270,25495,9785,10795,14010,18315,20240,0,15445,0,0,10700,17255,0,0,0,0,0,13050,15105,20645,0,0,23450,25635,26630,0,0,0,0,26700,21195,0,21730,FastExpand
1230,2955,2445,0,12650,13725,32160,0,2035,8465,9485,0,4555,3070,5875,0,13665,14920,15285,29540,0,19890,0,0,8100,9255,10765,12605,13450,12945,0,0,0,12875,14315,0,0,0,0,0,14375,14955,7075,8605,0,0,0,0,0,0,0,0,0,0,0,0,Carrier
1175,3025,5520,18005,15210,17250,18925,27025,1800,2430,11170,13195,6765,2815,7955,22160,9290,11665,10055,23605,25470,15300,27650,30390,8675,9700,12550,16600,17405,18240,14225,0,0,18835,20430,21680,20900,35585,33040,50555,20975,21585,8020,9210,0,0,0,0,26935,29050,30920,0,25505,40135,0,0,Carrier
1270,3095,5480,20470,15995,18985,22225,28130,1880,2420,11995,21115,6685,2910,8705,21300,8180,10715,8925,0,0,23835,0,0,8595,9700,10050,11085,18120,11535,12175,0,0,14455,0,0,0,0,0,0,15865,16755,7780,29820,0,0,0,0,0,0,0,0,0,0,0,0,Carrier
1175,3025,5520,18005,15210,17250,18925,27025,1800,2430,11170,13195,6765,2815,7955,22160,9290,11665,10055,23605,25470,15300,27650,30390,8675,9700,12550,16600,17405,18240,14225,0,0,18835,20430,21680,20900,35585,33040,50555,20975,21585,8020,9210,0,0,0,0,26935,29050,30920,0,25505,40135,0,0,Carrier
1270,3095,5480,20470,15995,18985,22225,28130,1880,2420,11995,21115,6685,2910,8705,21300,8180,10715,8925,0,0,23835,0,0,8595,9700,10050,11085,18120,11535,12175,0,0,14455,0,0,0,0,0,0,15865,16755,7780,29820,0,0,0,0,0,0,0,0,0,0,0,0,Carrier
1300,3905,3220,0,7690,0,0,0,2115,8345,9255,0,4525,0,5760,8040,2770,3575,5010,9655,0,0,0,0,6085,0,0,0,0,0,0,0,0,7545,0,0,0,0,0,0,8910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
1224,3722,2040,17200,11370,14900,22746,23402,2428,16576,0,0,3416,0,0,0,5736,6464,26168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5220,6676,7796,6898,7656,10362,0,0,0,4404,5548,0,0,0,0,0,0,0,0,9132,0,0,0,Carrier
